group_type,group_value,count,target_mean,female_fraction,base_clean_mae,base_clean_bias,base_artifact_mae,base_artifact_bias,base_disagreement,c_clean_mae,c_clean_bias,c_artifact_mae,c_artifact_bias,c_disagreement,blend_clean_mae,blend_clean_bias,blend_artifact_mae,blend_artifact_bias,blend_disagreement,c_clean_delta,c_clean_delta_ci_low,c_clean_delta_ci_high,c_artifact_delta,c_artifact_delta_ci_low,c_artifact_delta_ci_high,blend_clean_delta,blend_clean_delta_ci_low,blend_clean_delta_ci_high,blend_artifact_delta,blend_artifact_delta_ci_low,blend_artifact_delta_ci_high
overall,all,14036,127.30407523510972,0.4581077229980051,6.330013979327206,-0.18736967057983392,7.237796939176928,-0.8812662542087125,3.093309116553771,6.3706596825122155,0.08221633429539481,6.522732400391373,0.20711850617202968,1.1090097897546725,6.272541777452331,0.009428112979082954,6.487925483266592,-0.08674537913077068,1.372218338587781,0.04064570318500898,-0.006483899714702828,0.08728363219065763,-0.7150645387855545,-0.7973936470052937,-0.6313492387745516,-0.057472201874874916,-0.0922990205234255,-0.02292283151305327,-0.7498714559103354,-0.8145015005654302,-0.6860583309219516
fold,1,2808,127.56695156695157,0.4583333333333333,6.253523957016122,0.010610129418875453,7.152143246088272,-0.3200377589277395,3.2306415511671975,6.275103373405261,0.70927681067051,6.392491821549896,0.8733983787036687,1.0919258682816118,6.186818375981431,0.5206368067325685,6.355799031067439,0.5511706215431882,1.3937704526053534,0.02157941638913926,-0.07956478307050154,0.12036286493991459,-0.7596514245383756,-0.9281910197347651,-0.590559553692483,-0.06670558103469008,-0.14315473969845324,0.007975287215662466,-0.7963442150208344,-0.9266936574399982,-0.6695033906446902
fold,2,2807,126.86141788386178,0.4584966156038475,6.287806041732479,-0.259509769843319,6.849688165418016,-0.3647093750804528,2.8276340727879137,6.276991277136835,0.45407987430845637,6.417444322217093,0.7438957749799254,1.088821089051141,6.201549657000143,0.26141067038747695,6.3324468712149296,0.4445723844636233,1.2765886078043944,-0.010814764595643235,-0.11222606841720269,0.09065965354166561,-0.4322438432009232,-0.5970980714893783,-0.2641648573853346,-0.08625638473233468,-0.16299062581362925,-0.010711027970974391,-0.5172412942030867,-0.6497545185170651,-0.38937645094497486
fold,3,2807,127.1086569291058,0.4581403633772711,6.499844035008304,-0.7654347992215161,7.558638270656367,-1.0720463512544327,3.284096249321155,6.448182242257254,0.023048705293650357,6.556514354035826,0.2394649789645059,1.062775953324783,6.355278030833104,-0.18984184092544476,6.584113855161488,-0.11464308019460719,1.3824314802364817,-0.05166179275105,-0.1600666263921431,0.05889815669234766,-1.0021239166205402,-1.1942348238663354,-0.8144956766433634,-0.1445660041752005,-0.22656803462052616,-0.06309843016299362,-0.9745244154948799,-1.125484080010221,-0.8261402898240772
fold,4,2807,127.48770929818312,0.4577841111506947,6.426661915060546,-0.20267411419875653,7.482764461178944,-1.8444846479078183,3.026139070777907,6.42256013566504,-1.121318548057782,6.6098513832540755,-1.2068189601266266,1.0479627472673996,6.359332203173663,-0.8732845509158451,6.679423318406973,-1.3789886958275488,1.328905992375433,-0.004101779395505235,-0.09496950320089881,0.08625962213557684,-0.8729130779248689,-1.0558696228369808,-0.698607353268886,-0.06732971188688233,-0.13466090544594278,0.0009794245000665164,-0.8033411427719718,-0.9428166290170406,-0.6688309111297877
fold,5,2807,127.4955468471678,0.4577841111506947,6.182261197559342,0.28008967020097975,7.1457810668619155,-0.8052530767741813,3.09798571372907,6.430495426244569,0.34577143757123274,6.637406519396177,0.38541499465056284,1.2535693770334906,6.25976115942596,0.32803736038126424,6.487891410824919,0.06393461536588198,1.479387481928636,0.2482342286852277,0.12916274762128177,0.36712209669601703,-0.5083745474657385,-0.7253095677113847,-0.29939513014524016,0.07749996186661748,-0.011255237736988421,0.16397965648278806,-0.6578896560369966,-0.8328194597908131,-0.4893232704070187
age_bin,0-59,895,38.58100558659218,0.4681564245810056,6.058881804396986,3.234174227581344,6.551212259644236,1.2552402219292842,3.163226753106996,6.556463789273907,2.663725898785298,6.852670820864885,2.660963657315217,1.2829017255559314,6.254855216255401,2.817746947560231,6.470352218627931,2.2814183297610153,1.4835938807652647,0.4975819848769205,0.24393473854278064,0.7509911263322027,0.3014585612206487,-0.020967017658595745,0.6184635929555201,0.19597341185841483,0.004746553912242649,0.38507429682768873,-0.08086004101630673,-0.34109946460723856,0.1805498991950265
age_bin,120-179,8033,145.83742063986057,0.41727872525830945,5.964313185587479,-0.9326581827926114,7.0619123134283,-1.2009698275862069,3.078431646004421,5.819160430083814,-0.6922165766074562,5.921461565266299,-0.5078821475488319,0.9886111365477026,5.790055006519433,-0.7571358102774483,6.038707865569358,-0.6950158211589231,1.3101219414305334,-0.1451527555036645,-0.19857340387310862,-0.09140189125842665,-1.1404507481620008,-1.2508536199548095,-1.0345271282321888,-0.17425817906804567,-0.21376488154551496,-0.13435073375072654,-1.0232044478589417,-1.1066382157320875,-0.9414572845424791
age_bin,180-228,1227,191.5158924205379,0.2974735126324368,5.651807771043847,-1.7957739608503533,6.136639577155204,-1.4648273782022854,2.5867896169399773,5.958123963347468,-3.135942354956198,6.169379385875899,-3.1383118446804055,1.2184160103521993,5.730821234929241,-2.77409688854762,5.928334036145448,-2.6864710387313133,1.390915915342299,0.30631619230362117,0.11569170559336729,0.49943386954608227,0.03273980872069539,-0.21136315648110834,0.2677859188972122,0.07901346388539404,-0.06642932450061974,0.22508214659407408,-0.2083055410097555,-0.39176380333282557,-0.03129426112870542
age_bin,60-119,3881,89.10280855449626,0.5910847719659882,7.363896172122223,1.0747104360712647,8.108318601125173,-0.527740099110022,3.2681181508835615,7.599745007588426,2.107274109295612,7.802886453740101,2.178840196860632,1.2835234888003555,7.446552807818488,1.828481917525038,7.598698969592571,1.4480635169485554,1.469151428368128,0.23584883546620347,0.14171790462337613,0.33077539934444833,-0.3054321473850722,-0.4723209602505363,-0.13951330904922585,0.08265663569626552,0.012537620659189138,0.1520944562858907,-0.5096196315326019,-0.6456755228637268,-0.3758609529599432
