group_type,group,count,c_clean_mae,baseline_clean_mae,c_artifact_mae,baseline_artifact_mae,clean_delta_c_minus_baseline,artifact_delta_c_minus_baseline,c_disagreement_mean,baseline_disagreement_mean
sex,F,6430,6.625994817873182,6.5548584672563,6.787759966575895,7.451663837462525,0.07113635061688228,-0.6639038708866298,1.1168420586949377,3.0723938824785626
sex,M,7606,6.154803132371404,6.139933771940397,6.298682012465199,7.056997023850029,0.01486936043100684,-0.7583150113848296,1.1023885053363311,3.11099054635966
age_bin,0-59,895,6.556463789273907,6.058881804396986,6.852670820864885,6.551212259644236,0.49758198487692074,0.30145856122064885,1.2829017255559314,3.163226753106996
age_bin,60-119,3881,7.599745007588426,7.363896172122223,7.802886453740101,8.108318601125173,0.2358488354662036,-0.30543214738507274,1.2835234888003555,3.2681181508835615
age_bin,120-179,8033,5.819160430083814,5.964313185587479,5.921461565266299,7.0619123134283,-0.14515275550366535,-1.1404507481620003,0.9886111365477026,3.078431646004421
age_bin,180-228,1227,5.958123963347468,5.651807771043847,6.169379385875898,6.136639577155203,0.30631619230362084,0.03273980872069426,1.2184160103521995,2.5867896169399773
