model,friend_weight,n,mae,rmse,median_absolute_error,within_6_months,within_12_months,within_18_months
own_baseline,0.0,1425,6.471143092140351,8.878041067625507,4.75,0.5971929824561404,0.8603508771929824,0.9536842105263158
blend_0.25,0.25,1425,6.263658575787007,8.546221721838895,4.59375,0.608421052631579,0.8652631578947368,0.9536842105263158
blend_0.50,0.5,1425,6.177155419082785,8.396693182863823,4.5625,0.6189473684210526,0.8659649122807017,0.9529824561403509
blend_0.75,0.75,1425,6.22638142904523,8.439150743019555,4.65625,0.6070175438596491,0.864561403508772,0.9508771929824561
blend_1.00,1.0,1425,6.4083344469572365,8.670774607126981,4.875,0.5894736842105263,0.8603508771929824,0.9473684210526315
