quartile,count,disagreement_min,disagreement_max,tta_mae,error_rate_gt12,error_rate_gt18
Q1_low,3509,0.1612877617756064,1.108386691435573,4.758689229187377,0.07039042462239954,0.02080364776289541
Q2,3509,1.1084160705930424,1.5584913735987815,5.942820551783381,0.11541749786263893,0.03362781419207751
Q3,3509,1.5586737333179246,2.136586131785419,6.51647694930965,0.1353662011969222,0.04417212881162724
Q4_high,3509,2.1366642332401216,10.835262510906423,7.62379812130258,0.20148190367626104,0.06839555428897122
