epoch,train_loss,val_loss,train_mae,val_mae,lr,seconds
20,6.28723362807798,6.616343994140625,6.769600868225098,7.098108768463135,9.261084118279847e-05,807.3447687625885
21,6.092923680490681,6.737771638569079,6.574344158172607,7.221735000610352,9.174140265146356e-05,779.3763086795807
22,6.035763199158659,6.577976395456415,6.517027378082275,7.060937404632568,9.082818315286055e-05,772.1736545562744
23,6.06476864108823,6.427248085423519,6.546657085418701,6.911968231201172,8.987214052813604e-05,765.6542994976044
24,6.73031938543933,6.671207425301535,7.2145280838012695,7.151710510253906,8.887427753398248e-05,755.862795829773
25,6.498912639162673,6.747780119243421,6.983360767364502,7.230652332305908,8.783564079088477e-05,757.5645523071289
26,6.36938871493017,6.554032432154605,6.852726459503174,7.0380754470825195,8.675731968536002e-05,752.0924236774445
27,6.278917552950116,6.70143659625137,6.762751579284668,7.184879302978516,8.564044522734147e-05,755.3120901584625
28,6.217697998995483,7.007692421361019,6.69992208480835,7.488985538482666,8.448618886390522e-05,755.6954667568207
29,6.172627628185153,6.573613024259869,6.655095100402832,7.058404445648193,8.329576125058406e-05,755.8716857433319
30,5.99368380993574,6.936103515625,6.475374221801758,7.421326637268066,8.2070410981557e-05,754.1779386997223
31,6.007671639029016,6.844282911869517,6.490497589111328,7.327532768249512,8.081142328004637e-05,753.1399898529053
32,5.970446954965686,6.617585770456414,6.453081130981445,7.099550247192383,7.952011865029614e-05,751.8732371330261
33,5.976253382173332,6.517703964501097,6.459222316741943,7.003152370452881,7.819785149254532e-05,752.4651503562927
