epoch,train_loss,val_loss,train_mae,val_mae,lr,seconds
1,23.26259420835171,8.322925318667764,23.755475997924805,8.813036918640137,6.666666666666667e-05,499.59220027923584
2,10.536568262113681,8.044428539610745,11.026065826416016,8.530752182006836,0.0001,461.4329972267151
3,9.988285552613108,7.673124828673245,10.477681159973145,8.160033226013184,0.0001,460.93655490875244
4,9.501879099727235,7.738255208333333,9.991443634033203,8.220380783081055,9.997377845227576e-05,460.9170973300934
5,9.15673857647992,6.757087188185307,9.644685745239258,7.241184234619141,9.989514131188559e-05,460.43001914024353
6,9.001216625564208,7.874618283991228,9.489749908447266,8.35987663269043,9.97641710583307e-05,460.5019030570984
7,8.761118525791751,6.748251117907072,9.248263359069824,7.229572296142578,9.958100506132127e-05,460.00593280792236
8,8.516130496542267,6.512140385142544,9.003808975219727,6.995910167694092,9.934583543669453e-05,459.6464407444
9,8.43972502207739,7.129166923656798,8.927301406860352,7.617006778717041,9.905890884491195e-05,460.31933331489563
10,8.454837084289169,7.479831521552906,8.94176197052002,7.963996887207031,9.872052623234632e-05,459.95105147361755
11,8.180985894572602,6.752167026452851,8.669255256652832,7.236918926239014,9.833104251563056e-05,459.58757734298706
12,8.25284781443516,7.224532727693257,8.73964786529541,7.70736837387085,9.789086620939936e-05,460.5988326072693
13,8.24746734108538,6.667479098135965,8.734600067138672,7.150334358215332,9.740045899781352e-05,460.10638880729675
14,8.243643368276425,6.3284145422149125,8.73114013671875,6.81116247177124,9.686033525031719e-05,460.08042645454407
15,8.017100029182268,7.842322162828947,8.504796981811523,8.33027458190918,9.627106148213522e-05,459.4271402359009
16,8.000072265992827,6.395218655770285,8.485902786254883,6.876847743988037,9.563325576007701e-05,460.6598837375641
17,7.87701847970878,6.577910520319353,8.363728523254395,7.062302589416504,9.494758705426978e-05,459.8851888179779
18,7.942572988967345,6.141560015762061,8.429473876953125,6.621830940246582,9.421477453650118e-05,459.5416932106018
19,7.846188441851205,6.500735762746711,8.332743644714355,6.984605312347412,9.343558682590756e-05,462.2075855731964
20,7.690520451341308,6.759401063082511,8.176057815551758,7.2424726486206055,9.261084118279847e-05,460.7377986907959
21,7.75472774177414,6.161029245476974,8.241109848022461,6.6434102058410645,9.174140265146356e-05,460.6143493652344
22,7.578782815822063,6.347521929824562,8.06424617767334,6.831441879272461,9.082818315286055e-05,461.79509711265564
23,7.66264044280926,6.412063116776316,8.148417472839355,6.895054817199707,8.987214052813604e-05,460.83909344673157
24,7.601427584766028,6.458426813493695,8.0875883102417,6.938059329986572,8.887427753398248e-05,460.44928646087646
25,7.53167054050268,6.435406751130756,8.018507957458496,6.918163299560547,8.783564079088477e-05,458.99725008010864
26,7.51080523844743,7.1331333093475875,7.995800495147705,7.62075662612915,8.675731968536002e-05,459.6479287147522
27,7.358058606081899,6.2155674556263705,7.843038082122803,6.699429988861084,8.564044522734147e-05,459.6405086517334
28,7.43452327172598,6.118300866913377,7.919802665710449,6.600882530212402,8.448618886390522e-05,460.09522318840027
29,7.385017504520793,6.190399533991228,7.871184349060059,6.671014308929443,8.329576125058406e-05,459.4449188709259
30,7.2595520116327945,6.350630482456141,7.744856834411621,6.834243297576904,8.2070410981557e-05,470.8687765598297
31,7.220810191824722,6.280717880516722,7.706036567687988,6.763563632965088,8.081142328004637e-05,460.10815358161926
32,7.1633358205889515,6.426484118009869,7.648018836975098,6.911518573760986,7.952011865029614e-05,459.62606167793274
33,7.11977246300895,6.211606102658991,7.605007648468018,6.692171096801758,7.819785149254532e-05,460.7579367160797
