epoch,train_loss,val_loss,train_mae,val_mae,lr,seconds
1,49.195446176236274,12.584254385964913,49.69182586669922,13.076579093933105,6.666666666666667e-05,867.9995095729828
2,12.4219299030856,9.12181058114035,12.911398887634277,9.602675437927246,0.0001,899.150484085083
3,9.785026000366743,8.217927631578947,10.271018981933594,8.700745582580566,0.0001,882.7283005714417
4,9.29649276920942,9.441425438596491,9.782181739807129,9.927982330322266,9.966191788709716e-05,877.0373706817627
5,8.898159809640394,6.351946271929824,9.38238525390625,6.827225685119629,9.865224352899119e-05,912.0029921531677
6,8.603037217012925,6.5720833333333335,9.086626052856445,7.0484209060668945,9.698463103929542e-05,901.4884080886841
7,8.430463267435176,6.277483552631579,8.915081977844238,6.752236843109131,9.468163201617062e-05,902.155713558197
8,8.210255586640631,6.384895833333333,8.692914009094238,6.860613822937012,9.177439057064683e-05,903.6108875274658
9,8.158055374524224,6.306766721491228,8.641532897949219,6.783596515655518,8.83022221559489e-05,905.42063164711
10,7.9936490526623585,7.105444078947368,8.475172996520996,7.585065841674805,8.43120818934367e-05,904.0378625392914
11,7.86786585124098,6.074051535087719,8.3502197265625,6.549802780151367,7.985792958513931e-05,904.2634782791138
12,7.805149801016969,6.40281524122807,8.286986351013184,6.8813157081604,7.500000000000001e-05,900.9352140426636
13,7.677471901080901,6.538944627192983,8.159496307373047,7.015394687652588,6.980398830195785e-05,900.2104535102844
14,7.386342404448498,6.066962719298246,7.866470813751221,6.544078826904297,6.434016163555452e-05,909.9548435211182
15,7.432389444235191,5.941299342105263,7.914553642272949,6.41396951675415,5.868240888334653e-05,898.5739068984985
16,7.287254802355087,6.026399396929825,7.767658233642578,6.503684043884277,5.290724144552379e-05,901.4113011360168
17,7.159034957081119,5.930394736842105,7.640447616577148,6.405350685119629,4.709275855447621e-05,892.4145288467407
18,7.005859220125288,6.274047423245614,7.485476493835449,6.748969078063965,4.131759111665349e-05,891.3157556056976
19,7.006528278883515,6.50390350877193,7.486464977264404,6.985986709594727,3.5659838364445505e-05,893.4664471149445
20,6.917759359388629,6.037741228070176,7.398355007171631,6.511666774749756,3.019601169804216e-05,896.8630247116089
21,6.739145760645468,6.750773026315789,7.218547821044922,7.229078769683838,2.500000000000001e-05,900.5422601699829
22,6.618016699211006,6.094491502192983,7.09708309173584,6.568508625030518,2.0142070414860704e-05,895.2215886116028
23,6.455767317470859,6.041211622807017,6.934070587158203,6.520745754241943,1.5687918106563326e-05,896.6730160713196
24,6.350127585788201,5.948658168859649,6.828827381134033,6.419561386108398,1.1697777844051105e-05,1262.5892066955566
25,6.436894594748632,5.9379934210526315,6.915247440338135,6.415482521057129,8.225609429353187e-06,1357.5027277469635
26,6.1967515958290385,6.029325657894737,6.672981262207031,6.5083770751953125,5.318367983829392e-06,952.2268617153168
27,6.234080273422013,5.950137061403509,6.7111968994140625,6.422280788421631,3.0153689607045845e-06,970.2912180423737
28,6.2410888962265085,5.939073464912281,6.717771053314209,6.415043830871582,1.3477564710088098e-06,965.2972190380096
