weight_c,count,clean_mae,baseline_clean_mae,clean_delta,artifact_mae,baseline_artifact_mae,artifact_delta,artifact_gain,disagreement_mean,baseline_disagreement_mean,disagreement_reduction,max_age_clean_delta,max_age_artifact_delta,feasible
0.0,14036,6.330013979327206,6.330013979327206,0.0,7.237796939176928,7.237796939176928,0.0,0.0,3.093309116553771,3.093309116553771,0.0,0.0,0.0,False
0.01,14036,6.326096812047386,6.330013979327206,-0.003917167279819722,7.221313069996653,7.237796939176928,-0.016483869180274446,0.016483869180274446,3.066684175319025,3.093309116553771,0.008607268213921215,-0.0019776922401399943,-0.009311117758297627,False
0.02,14036,6.3222554048509405,6.330013979327206,-0.007758574476265601,7.204987008199966,7.237796939176928,-0.03280993097696161,0.03280993097696161,3.0401047314534875,3.093309116553771,0.017199828111442717,-0.0038696319729485396,-0.018461824555636497,False
0.03,14036,6.318528437746254,6.330013979327206,-0.011485541580952052,7.188783986011982,7.237796939176928,-0.04901295316494547,0.04901295316494547,3.0135610922560385,3.093309116553771,0.025780813133405522,-0.005642759642076278,-0.0275032891641116,False
0.04,14036,6.314906719106661,6.330013979327206,-0.015107260220545093,7.172731466426507,7.237796939176928,-0.06506547275042074,0.06506547275042074,2.987047546508476,3.093309116553771,0.034352069593251766,-0.007313803299528132,-0.036528045824786304,False
0.05,14036,6.311344735430121,6.330013979327206,-0.018669243897084797,7.156799716710298,7.237796939176928,-0.08099722246662999,0.08099722246662999,2.9605689684459375,3.093309116553771,0.04291202175607922,-0.008942259405421815,-0.045446031026999734,False
0.06,14036,6.307845272674083,6.330013979327206,-0.022168706653123316,7.141001006045141,7.237796939176928,-0.09679593313178625,0.09679593313178625,2.934141769343953,3.093309116553771,0.05145536421110908,-0.010537416909779829,-0.05429299960855705,False
0.07,14036,6.3044415646898475,6.330013979327206,-0.025572414637358598,7.125314844201589,7.237796939176928,-0.11248209497533868,0.11248209497533868,2.907768472533988,3.093309116553771,0.059981281219800175,-0.012045403598234472,-0.06307598135324888,False
0.08,14036,6.301129663673416,6.330013979327206,-0.028884315653789905,7.109739856355786,7.237796939176928,-0.12805708282114203,0.12805708282114203,2.8814256936935116,3.093309116553771,0.06849733242835976,-0.013483436307289764,-0.0717336521255234,False
0.09,14036,6.29788665836168,6.330013979327206,-0.032127320965526174,7.094261203063591,7.237796939176928,-0.14353573611333648,0.14353573611333648,2.855122867072196,3.093309116553771,0.07700046794771565,-0.014863221410068128,-0.08037141878777909,False
0.1,14036,6.294730925974461,6.330013979327206,-0.035283053352745064,7.078881223346475,7.237796939176928,-0.15891571583045305,0.15891571583045305,2.8288758735297987,3.093309116553771,0.08548555383904699,-0.01615358080884821,-0.08895079799204453,False
0.11,14036,6.29165197792064,6.330013979327206,-0.03836200140656576,7.06362278062348,7.237796939176928,-0.17417415855344753,0.17417415855344753,2.802667482288586,3.093309116553771,0.09395816044048855,-0.01740002457919232,-0.09713962976892443,False
0.12,14036,6.288624222712763,6.330013979327206,-0.041389756614442774,7.048494516678704,7.237796939176928,-0.1893024224982236,0.1893024224982236,2.776518559144684,3.093309116553771,0.10241154229100147,-0.01856817861280291,-0.10529445643931101,False
0.13,14036,6.2856694963780795,6.330013979327206,-0.04434448294912663,7.033576320524261,7.237796939176928,-0.20422061865266627,0.20422061865266627,2.7504349921904043,3.093309116553771,0.1108437958975661,-0.019669307874853104,-0.11336666452418509,False
0.14,14036,6.282774966466322,6.330013979327206,-0.047239012860884166,7.018854486808441,7.237796939176928,-0.21894245236848686,0.21894245236848686,2.724411118540814,3.093309116553771,0.11925675194852281,-0.020741108808588926,-0.12098534048069709,False
0.15,14036,6.279934982670512,6.330013979327206,-0.05007899665669413,7.004262406698963,7.237796939176928,-0.23353453247796452,0.23353453247796452,2.6984310409967702,3.093309116553771,0.12765554966486214,-0.021737067977721125,-0.1280367611506792,False
0.16,14036,6.277188603805319,6.330013979327206,-0.05282537552188682,6.98982832667562,7.237796939176928,-0.24796861250130764,0.24796861250130764,2.672521227958638,3.093309116553771,0.13603163238465132,-0.022655822077659593,-0.13490702674908306,False
0.17,14036,6.274541540588876,6.330013979327206,-0.05547243873833008,6.975594569701148,7.237796939176928,-0.26220236947578,0.26220236947578,2.6466814407713906,3.093309116553771,0.14438507725990368,-0.023510049939369893,-0.14148193043969837,False
0.18,14036,6.2719942446535,6.330013979327206,-0.05801973467370569,6.961510690562438,7.237796939176928,-0.2762862486144897,0.2762862486144897,2.6208818894324057,3.093309116553771,0.1527255147547919,-0.02424006457428174,-0.14788954290464496,False
0.19,14036,6.269539961783625,6.330013979327206,-0.06047401754358095,6.947553680818894,7.237796939176928,-0.2902432583580339,0.2902432583580339,2.5951315703871725,3.093309116553771,0.16105003651287653,-0.02483310940277228,-0.15400060498115042,False
0.2,14036,6.267181105517226,6.330013979327206,-0.06283287380998015,6.933782431895184,7.237796939176928,-0.3040145072817433,0.3040145072817433,2.5694607204981903,3.093309116553771,0.1693488676098417,-0.025278260000768604,-0.15986784524757613,False
0.21,14036,6.26493558524918,6.330013979327206,-0.06507839407802596,6.920204738123392,7.237796939176928,-0.3175922010535359,0.3175922010535359,2.5438580186375868,3.093309116553771,0.17762566792171197,-0.02557896072242194,-0.16565697551705938,False
0.22,14036,6.262769241985279,6.330013979327206,-0.06724473734192671,6.906835607864063,7.237796939176928,-0.33096133131286454,0.33096133131286454,2.5183374645486456,3.093309116553771,0.18587591163397743,-0.025799474207526707,-0.17106026573820454,False
0.23,14036,6.260708571390808,6.330013979327206,-0.06930540793639839,6.89361162729228,7.237796939176928,-0.3441853118846474,0.3441853118846474,2.4928885298734658,3.093309116553771,0.1941030023372603,-0.02593356416815773,-0.1761133098069516,False
0.24,14036,6.25873219042974,6.330013979327206,-0.07128178889746639,6.88051055870154,7.237796939176928,-0.3572863804753874,0.3572863804753874,2.4674871067146045,3.093309116553771,0.20231473359390273,-0.025958383427978404,-0.180633776787273,False
0.25,14036,6.25681851656901,6.330013979327206,-0.07319546275819633,6.867555180313445,7.237796939176928,-0.3702417588634823,0.3702417588634823,2.4421417617363006,3.093309116553771,0.21050833598645657,-0.025874810438738294,-0.1850287346866537,False
0.26,14036,6.254989954985659,6.330013979327206,-0.07502402434154742,6.85472848050239,7.237796939176928,-0.3830684586745381,0.3830684586745381,2.416876782743161,3.093309116553771,0.21867595779248128,-0.025705205872635695,-0.18917870462939756,False
0.27,14036,6.253240271416375,6.330013979327206,-0.07677370791083149,6.842125755982985,7.237796939176928,-0.3956711831939428,0.3956711831939428,2.39166708962263,3.093309116553771,0.226825706870458,-0.025460164031549937,-0.19320424690459692,False
0.28,14036,6.2515414131819,6.330013979327206,-0.07847256614530629,6.829702222350657,7.237796939176928,-0.4080947168262705,0.4080947168262705,2.3665106786258816,3.093309116553771,0.23495823098908697,-0.02514984877875559,-0.19698942114121465,False
0.29,14036,6.249969247838105,6.330013979327206,-0.0800447314891013,6.817461616535682,7.237796939176928,-0.42033532264124585,0.42033532264124585,2.3414234495828823,3.093309116553771,0.24306839007688896,-0.024658653339876935,-0.20037436774056783,False
0.3,14036,6.248523049342324,6.330013979327206,-0.0814909299848825,6.805442333520393,7.237796939176928,-0.43235460565653483,0.43235460565653483,2.316416036508538,3.093309116553771,0.251152746386615,-0.023957707936602013,-0.2036125830964668,False
0.31,14036,6.247165485614723,6.330013979327206,-0.08284849371248271,6.793626018436114,7.237796939176928,-0.444170920740814,0.444170920740814,2.291512529667234,3.093309116553771,0.2592035120563093,-0.023200703959772362,-0.206802073814349,False
0.32,14036,6.245921534181966,6.330013979327206,-0.08409244514523984,6.782050150732399,7.237796939176928,-0.45574678844452876,0.45574678844452876,2.2667277783197908,3.093309116553771,0.2672158866407983,-0.022382891762353196,-0.2098481663538765,False
