model,count,mae_months,rmse_months,median_ae_months,accuracy_within_6_months,accuracy_within_12_months,female_mae_months,male_mae_months,sex_gap_female_minus_male_months
E0 image-only,1425,7.47171052631579,9.927858889367483,6.0,0.5326315789473685,0.8175438596491228,7.768596625766871,7.221296895213454,0.5472997305534166
E1 sex embedding,1425,6.1847916666666665,8.486471361474907,5.0,0.6343859649122807,0.8666666666666667,6.389115222392638,6.01245148771022,0.37666373468241776
E2 dual-output,1425,6.157061403508772,8.367775916804874,4.5,0.6301754385964913,0.8736842105263158,6.383914877300613,5.965717981888745,0.4181968954118682
